Time,Event,Symbol,Bid,Ask
1483395201,TICK,EURUSDi,1.04561,1.04653
1483395201,TICK,EURJPYi,122.83500,122.90000
1483395203,TICK,EURUSDi,1.04563,1.04652
1483395203,TICK,EURJPYi,122.83800,122.90000
1483395203,TICK,USDCHFi,1.02311,1.02389
1483395202,TICK,GBPAUDi,1.70781,1.70932
1483395204,TICK,EURUSDi,1.04567,1.04652
1483395204,TICK,USDCHFi,1.02310,1.02389
1483395204,TICK,AUDUSDi,0.71872,0.71892
1483395204,TICK,AUDJPYi,84.40000,84.44800
1483395206,TICK,EURUSDi,1.04570,1.04645
1483395205,TICK,AUDJPYi,84.40200,84.44800
1483395207,TICK,EURUSDi,1.04572,1.04647
1483395206,TICK,AUDUSDi,0.71873,0.71892
1483395206,TICK,AUDJPYi,84.40300,84.44900
1483395207,TICK,USDCHFi,1.02328,1.02391
1483395207,TICK,EURJPYi,122.83700,122.90000
1483395208,TICK,EURUSDi,1.04565,1.04643
1483395208,TICK,AUDJPYi,84.40500,84.44900
1483395207,TICK,EURAUDi,1.45466,1.45601
1483395208,TICK,USDCHFi,1.02328,1.02400
1483395209,TICK,EURUSDi,1.04563,1.04643
1483395209,TICK,USDCHFi,1.02328,1.02403
1483395212,TICK,EURUSDi,1.04568,1.04643
1483395212,TICK,EURJPYi,122.82800,122.90000
1483395212,TICK,AUDJPYi,84.40700,84.44900
1483395211,TICK,USDJPYi,117.43400,117.47300
1483395211,TICK,AUDCADi,0.96618,0.96693
1483395211,TICK,USDCHFi,1.02313,1.02387
1483395213,TICK,EURUSDi,1.04570,1.04643
